FECHA ;LUGAR DE LA ORIENTACION ;TIPO DE DOCUMENTO;LOCALIDAD ;BARRIO ;RANGO DE EDAD;"CONDICION DE
DISCAPACION     ";"TIPO DE 
VIVIENDA ";"COBERTURA
EN SALUD";"ESTADO 
CIVIL";SEXO;GENERO;"ORIENTACION
SEXUAL";ETNIA;"NIVEL 
EDUCATIVO";VICTIMA ;RUV;OCUPACION;"ESTUDIOS
SOCIOECONIMICO ";TIPO DE SERVICIO ;TIPO DE REMISION ;"TIPOLOGIA
DE CASO-CASUSTICA ";EQUPO QUE ATENDIO 
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;ALFONSO LOPEZ;46-60 AÑOS ;NO;CASA;CONTRIBUTIVO;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;TRABAJO FORMAL;2-3 SMMLV;O.I.;SALUD;FAMILIA;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;ALFONSO LOPEZ;31-45 AÑOS ;NO;CASA;CONTRIBUTIVO;CASADA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SUPERIOR;NO;NO;TRABAJO FORMAL;2-3 SMMLV;O.I.;SDIS;CULTURA;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;ALFONSO LOPEZ;31-45 AÑOS ;NO;CASA;CONTRIBUTIVO;CASADA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;TRABAJO INFORMAL;MENOS DE 1SMMLV;O.I.;SDIS;CULTURA;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;ALFONSO LOPEZ;46-60 AÑOS ;NO;VIVIENDA FAMILIAR;CONTRIBUTIVO;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;TRABAJO INFORMAL;2-3 SMMLV;O.I.;SALUD;FAMILIA;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;USMINIA;46-60 AÑOS ;NO;VIVIENDA FAMILIAR;CONTRIBUTIVO;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;TRABAJO INFORMAL;MENOS DE 1SMMLV;O.I.;GOBIERNO;LABORALES;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;USMINIA;18-30 AÑOS;NO;VIVIENDA FAMILIAR;CONTRIBUTIVO;SEPARADA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;TRABAJO FORMAL;1-2 SMMLV;O.I.;SDIS;CULTURA;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;USMINIA;18-30 AÑOS;NO;VIVIENDA FAMILIAR;CONTRIBUTIVO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;TRABAJO INFORMAL;MENOS DE 1SMMLV;O.I.;SDIS;CULTURA;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;USMINIA;18-30 AÑOS;NO;VIVIENDA FAMILIAR;CONTRIBUTIVO;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;NINGUNA;SECUNDARIA;NO;NO;TRABAJO INFORMAL;MENOS DE 1SMMLV;O.I.;GOBIERNO;LABORALES;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;TUNJUELITO;CARMEN;60 O MAS AÑOS ;NO;VIVIENDA FAMILIAR;CONTRIBUTIVO;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;TRABAJO INFORMAL;1-2 SMMLV;O.I.;SDIS;CULTURA;EMANCIPATION RAIZAL PLISE
8/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;PORVENIR;46-60 AÑOS ;NO;CASA;CONTRIBUTIVO;SEPARADA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SECUNDARIA;NO;NO;TRABAJO INFORMAL;1-2 SMMLV;O.I.;SDIS;CULTURA;EMANCIPATION RAIZAL PLISE
21/01/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;ALFONZO LOPEZ;31-45 AÑOS;NO;ARRIENDO;SUBSIDIADO;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;NO RESPONDE;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
23/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;DANUBIO AZUL;31-45 años;NO;VIVIENDA FAMILIAR;SUBSIDIADO;SOLTERO;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;DESEMPLEADO;MENOS 1SMMLV;O.I.;N/A;VICTIMA;EMANCIPATION RAIZAL PLIES
23/01/2022;EMANCIPATION RAIZAL PLIES;CEDULA;USME;SAN FELIPE;18-30 años;NO;VIVIENDA FAMILIAR;SUBSIDIADO;UNIÓN LIBRE;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;TRABAJO INFORMAL;MENOS 1SMMLV;O.I.;N/A;VICTIMA;EMANCIPATION RAIZAL PLIES
25/01/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;ALFONZO LOPEZ;18-30 AÑOS;NO;ARRIENDO;SUBSIDIADO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;NO RESPONDE;SI;SI;NO RESPONDE;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
27/01/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;ALFONZO LOPEZ;18-30 AÑOS;NO;ARRIENDO;SUBSIDIADO;SOLTERO;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;ESTUDIANTE;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
1/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA PIAMONTE;46-60;NO;CASA;CONTRIBUTIVO;CASADA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SECUNDARIA;NO;NO;HOGAR;1-2 SMMLV;O.I.;SDIS;CULTURA;EMANCIPATION RAIZAL PLISE
1/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA HOLANDA;46-60;NO;ARRIENDO;CONTRIBUTIVO;SEPARADA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;TECNICA;NO;NO;TRABAJO INFORMAL;MENOS DE 1SMMLV;O.I.;SECRETARIA DE GOBIERNO;LABORALES;EMANCIPATION RAIZAL PLISE
1/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;KENEDY;TINTAL;46-60;NO;CASA;CONTRIBUTIVO;CASADA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SECUNDARIA;NO;NO;TRABAJO INFORMAL;MENOS DE 1SMMLV;O.I.;SDIS;CULTURA;EMANCIPATION RAIZAL PLISE
1/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA HOLANDA;18-30;NO;VIVIENDA FAMILIAR;CONTRIBUTIVO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;PRIMARIA;NO;NO;HOGAR;MENOS DE 1SMMLV;O.I.;SDIS;OTRO;EMANCIPATION RAIZAL PLISE
2/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SAN CRISTOBAL;SANTA ROSA;18-30 AÑOS;NO;CASA;NO ASEGURADA;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;DESEMPLEADO;MENOS 1SMMLV;O.I;N/A;LABORAL;CONFIA SAN CRISTOBAL 
2/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;SAN CRISTOBAL;SANTA ROSA;18-30 AÑOS;NO;CASA;NO ASEGURADA;UNION LIBRE;HOMBRE;MASCULINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;DESEMPLEADO;MENOS 1SMMLV;O.I;N/A;AUTORECONOCIMIENTO;CONFIA SAN CRISTOBAL 
2/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;ALFONZO LOPEZ;31-45 AÑOS;NO;ARRIENDO;SUBSIDIADO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;TECNICO;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
2/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA ESTACIÓN;31-45;NO;APARTAMENTO;CONTRIBUTIVO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SECUNDARIA;NO;NO;TRABAJO INFORMAL;MENOS DE 1SMMLV;O.I.;SECRETARIA DE GOBIERNO;LABORALES;EMANCIPATION RAIZAL PLISE
2/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA ESTACIÓN;31-45;NO;ARRIENDO;CONTRIBUTIVO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SECUNDARIA;NO;NO;HOGAR;1-2 SMMLV;O.I.;SECRETARI DE HABITAT;CULTURA;EMANCIPATION RAIZAL PLISE
2/02/2022;EMANCIPATION RAIZAL PLIES;CEDULA;BOSA;BOSA JARDIN;18-30;NO;APARTAMENTO;SUBSIDIADO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;RAIZAL;SECUNDARIA;NO;NO;HOGAR;MENOS DE 1SMMLV;O.I.;SDIS;FAMILIA;EMANCIPATION RAIZAL PLISE
3/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;CARACOLI ;46-60AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERO;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;DESEMPLEADO;MENOS 1SMMLV;O.P.;N/A;LABORAL;CONFIA
3/02/2022;CONFIA SAN CRISTOBAL ;CEDULA;CIUDAD BOLIVAR ;CARACOLI ;31-45 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERO;HOMBRE ;MASCULINO;HETEROSEXUAL;AFRO;BACHILERATO;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.P.;N/A;VICTIMAS;CONFIA
3/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;USME;ALFONZO LOPEZ;46-60 AÑOS;NO;ARRIENDO;SUBSIDIADO;UNION LIBRE;MUJER;FEMENINO;HETEROSEXUAL;AFRO;SECUNDARIA;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;FAMILIA;CONFIA
3/02/2022;CONFIA  SAN CRISTOBAL;CEDULA;CIUDAD BOLIVAR ;CARACOLI ;18-30 AÑOS;NO;ARRIENDO;CONTRIBUTIVO;SOLTERA;MUJER;FEMENINO;HETEROSEXUAL;AFRO;TECNICA;SI;SI;TRABAJO FORMAL;MENOS 1SMMLV;O.I.;N/A;VICTIMAS;CONFIA
